Year_Month,Avg_Close,Total_Volume
1994-05,0.274872479,3361657600
1994-06,0.238731455,4671788800
1994-07,0.256947449,4848065600
1994-08,0.308181348,4574897600
1994-09,0.312287333,3232644800
1994-10,0.358391857,7713484800
1994-11,0.357860432,4048945600
1994-12,0.336575241,3787795200
1995-01,0.377923094,8162100800
1995-02,0.369801419,5299347200
1995-03,0.33254087,6997144000
1995-04,0.333352952,5674300800
1995-05,0.372691772,6384672000
1995-06,0.403605774,5521947200
1995-07,0.417606151,5699579200
1995-08,0.392372002,5292918400
1995-09,0.355085203,7311483200
1995-10,0.318866776,6498508800
1995-11,0.349383573,4864294400
1995-12,0.318080449,6560243200
1996-01,0.285866502,10300214400
1996-02,0.255245602,4652099200
1996-03,0.227970954,3346750400
1996-04,0.223798906,2867076800
1996-05,0.235668683,3603902400
1996-06,0.2066407,4673939200
1996-07,0.177328637,4803489600
1996-08,0.205300091,3187374400
1996-09,0.200613901,3213548800
1996-10,0.216833217,5816977600
1996-11,0.223856051,2581364800
1996-12,0.21051219,4147483200
1997-01,0.157163273,9072739200
1997-02,0.146146632,4574169600
1997-03,0.14924655,4502243200
1997-04,0.163885,3809724800
1997-05,0.152370526,2292707200
1997-06,0.141701287,2572304000
1997-07,0.13846891,6782372800
1997-08,0.208147382,17675705600
1997-09,0.196428572,3606075200
1997-10,0.179590478,6430043200
1997-11,0.162270948,5547483200
1997-12,0.128601956,5097792000
1998-01,0.1659458,10211577600
1998-02,0.178659474,7354166400
1998-03,0.2307985,10625977600
1998-04,0.243117621,8081886400
1998-05,0.259151752,6803339200
1998-06,0.246829271,3909841600
1998-07,0.301592911,10927660800
1998-08,0.34438781,13220872000
1998-09,0.332669049,8080318400
1998-10,0.319094861,12930926400
1998-11,0.3200893,10123523200
1998-12,0.317547636,12924105600
1999-01,0.375264422,15127403200
1999-02,0.338169686,8116516800
1999-03,0.30444487,9951995200
1999-04,0.338900335,15888969600
1999-05,0.400362705,8908905600
1999-06,0.411449957,6918620800
1999-07,0.469839476,11466582400
1999-08,0.527115498,9244603200
1999-09,0.632945325,18967468800
1999-10,0.633662959,14468496000
1999-11,0.803651148,8624929600
1999-12,0.923219364,9418214400
2000-01,0.922851545,12555177600
2000-02,0.996770352,7319782400
2000-03,1.147345657,8698356800
2000-04,1.099154105,8662404800
2000-05,0.900092599,9807750400
2000-06,0.876851678,8105204800
2000-07,0.959988752,5746770400
2000-08,0.916282478,5636086400
2000-09,0.995633411,14516930400
2000-10,0.367390411,21905788800
2000-11,0.349038094,8488373600
2000-12,0.26729905,8858970400
2001-01,0.329188001,13709460800
2001-02,0.350564055,7023766400
2001-03,0.37057223,10799062400
2001-04,0.4056787,11158991200
2001-05,0.420202907,7468434400
2001-06,0.384481429,7638265600
2001-07,0.38325681,8655102400
2001-08,0.332973655,5129359200
2001-09,0.296464336,5531523200
2001-10,0.309324568,7544247200
2001-11,0.350875809,5369744800
2001-12,0.387410751,4629839200
2002-01,0.403690523,8515376800
2002-02,0.425319684,7837424000
2002-03,0.432901849,5318583200
2002-04,0.438563318,6422836000
2002-05,0.43063314,5976157600
2002-06,0.349241102,8708016800
2002-07,0.291907637,8118415200
2002-08,0.270876637,5151686400
2002-09,0.259375098,5291837600
2002-10,0.261614824,6611432800
2002-11,0.285053551,4531721600
2002-12,0.262704048,4530439200
2003-01,0.258486376,6045832800
2003-02,0.261851574,4114303200
2003-03,0.260748234,4028404800
2003-04,0.247295903,7775342400
2003-05,0.317321525,10811544800
2003-06,0.324566239,6113335200
2003-07,0.361639636,5218270400
2003-08,0.36833333,4307564800
2003-09,0.395578145,5347484800
2003-10,0.410877303,7040191200
2003-11,0.385751895,4974104800
2003-12,0.36917218,5453873600
2004-01,0.4071696,7927802400
2004-02,0.407227372,4922030400
2004-03,0.467826131,11626115200
2004-04,0.491539,8930174400
2004-05,0.483535697,5304275200
2004-06,0.559498381,8227234400
2004-07,0.558733001,9696579200
2004-08,0.56694005,8011365600
2004-09,0.655102049,7673506400
2004-10,0.792227861,16094366400
2004-11,1.026156479,17439604000
2004-12,1.151761407,15948615200
2005-01,1.236223245,25708244800
2005-02,1.495216219,21448946400
2005-03,1.499918813,14675920000
2005-04,1.383248238,19375518400
2005-05,1.332925093,12858294400
2005-06,1.342532494,11327195600
2005-07,1.461107093,10094246400
2005-08,1.609472042,9400806800
2005-09,1.821955709,12347770400
2005-10,1.926360624,18643447200
2005-11,2.269864003,13456427600
2005-12,2.607397965,13064164400
2006-01,2.77892853,21878371200
2006-02,2.482819457,18760697200
2006-03,2.286971963,23192632400
2006-04,2.392988795,20119282400
2006-05,2.385081205,15608779200
2006-06,2.096769344,17936623600
2006-07,2.066803551,17479742000
2006-08,2.386211178,17887646000
2006-09,2.637750089,17721558400
2006-10,2.754496694,14387956800
2006-11,3.048027118,13834884000
2006-12,3.088267863,16890792800
2007-01,3.174339306,27209781200
2007-02,3.061710596,13722354800
2007-03,3.235827955,15918644000
2007-04,3.346607196,13459740000
2007-05,3.885909037,17365068000
2007-06,4.346258345,23279541600
2007-07,4.860748337,24018573600
2007-08,4.637267051,24360798000
2007-09,5.074285582,20931223600
2007-10,6.136086962,23277791600
2007-11,6.237789222,26199790400
2007-12,6.803749967,17252678800
2008-01,5.727789084,35173888400
2008-02,4.469750094,24865954400
2008-03,4.672249913,22927273600
2008-04,5.649545474,22786982400
2008-05,6.598554429,18588214400
2008-06,6.37448983,19475794800
2008-07,5.991022717,19749760800
2008-08,6.109625975,13085755200
2008-09,5.044404779,24067562400
2008-10,3.53585406,41426711200
2008-11,3.355018829,23619461600
2008-12,3.269415639,20213846800
2009-01,3.170535684,18105740800
2009-02,3.359793136,13867450800
2009-03,3.482321327,15424598000
2009-04,4.286462568,11821681200
2009-05,4.576749992,9457142800
2009-06,4.983149377,12675572000
2009-07,5.332792044,10942136800
2009-08,5.938588528,8165124800
2009-09,6.349523726,9989319200
2009-10,6.88683434,12956176800
2009-11,7.154285765,8454784800
2009-12,7.105519338,11393958800
2010-01,7.41840222,15168994400
2010-02,7.099849651,10776080000
2010-03,7.978959623,12154172800
2010-04,8.969591867,12367129600
2010-05,8.98076787,18082654800
2010-06,9.326623526,16651252800
2010-07,9.105357079,15669704400
2010-08,8.975827997,9589120800
2010-09,9.780391148,11849919200
2010-10,10.74765314,12234577600
2010-11,11.12814626,9508086000
2010-12,11.48163969,6973234800
2011-01,12.08499994,10841535600
2011-02,12.54223693,9295949600
2011-03,12.41038816,11306458800
2011-04,12.15769658,9253829200
2011-05,12.20659855,6912060400
2011-06,11.82433432,9263850400
2011-07,13.29421439,10653946800
2011-08,13.45580748,16142599200
2011-09,14.01761918,11977448000
2011-10,14.18678565,13141427600
2011-11,13.74340135,8963701600
2011-12,14.03323114,6306532400
2012-01,15.306357,6859854400
2012-02,17.77039289,11368554400
2012-03,20.62527622,15584338000
2012-04,21.64296417,15598990400
2012-05,20.16689925,11106345600
2012-06,20.52008502,7855825600
2012-07,21.46671795,8909650400
2012-08,22.95343167,8276206400
2012-09,24.34172962,9199005200
2012-10,22.6683672,12142830000
2012-11,20.15520405,12929851200
2012-12,19.00196428,12132752800
2013-01,17.77937076,13123423600
2013-02,16.31460526,9344034000
2013-03,15.78003583,9176876800
2013-04,14.99160719,10963489600
2013-05,15.94474021,9447530400
2013-06,15.19778566,7018536000
2013-07,15.3270454,6538114800
2013-08,17.31584419,8058338400
2013-09,17.14944649,8630941200
2013-10,18.02659939,7837732000
2013-11,18.73630362,5225155600
2013-12,19.9877719,7057397200
2014-01,19.19448998,8765954400
2014-02,18.80642851,5880366800
2014-03,19.04336739,5001698800
2014-04,19.32408178,6435060800
2014-05,21.54270417,5735668400
2014-06,22.97136052,4827739200
2014-07,23.90647715,4140344000
2014-08,24.60916665,3748308000
2014-09,25.137143,6105680000
2014-10,25.42489143,5441120800
2014-11,28.32131567,3281632800
2014-12,28.10284103,4294378400
2015-01,27.66037521,5221053600
2015-02,31.3580262,4546140800
2015-03,31.49272711,4554568400
